Ref,Qty,Value,Footprint,Footprint Library,Symbol,Symbol Library,Datasheet,Description,MF_Name,MF_PN,S1_Name,S1_PN
BAT1,1,CR1220,BATT-HOLDER-CR1220-BK-916,Wickerlib,BATT-CR1220-HOLDER-SMT-FLATPIN,wickerlib,http://www.memoryprotectiondevices.com/datasheets/BK-916-datasheet.pdf,CR1220 BATTERY HOLDER SMT FLATPIN,MPD,BK-916-TR,Digikey,BK-916-CT-ND
LED1,1,RED,LED-D5MM-2PIN,Wickerlib,LED-RED-2PIN-TH-MT4118-HR-A,wickerlib,http://www.marktechopto.com/products/datasheet/MT4118-HR-A,LED RED DIFF 5MM ROUND T/H,Marktech Opto,MT4118-HR-A,Digikey,1125-1188-ND
