Ref,Qty,Description,MF,MF PN,S1,S1_PN
BAT1,1,CR1220 BATTERY HOLDER SMT FLATPIN,MPD,BK-916-TR,Digikey,BK-916-CT-ND
LED1,1,LED RED DIFF 5MM ROUND T/H,Marktech Opto,MT4118-HR-A,Digikey,1125-1188-ND
